name,artist,album,album_type,release_date,duration,duration_ms,added_at,added_by_id,track_popularity,track_id,track_uri,artist_uris,artist_names,enriched,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_genres,artists_popularities,artists_avg_popularity
Rumble,"Skrillex, Fred again.., Flowdan",Rumble,single,2023-01-04,2:26,146571,2023-01-09T10:23:07Z,115458813,67,1GfBLbAhZUWdseuDqhocmn,spotify:track:1GfBLbAhZUWdseuDqhocmn,"['spotify:artist:5he5w2lnU9x7JFhnwcekXX', 'spotify:artist:4oLeXFyACqeem2VImYeBFe', 'spotify:artist:07CimrZi5vs9iEao47TNQ4']","['Skrillex', 'Fred again..', 'Flowdan']",True,0.81,0.836,1.0,-7.721,0.0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,4.0,"[['brostep', 'complextro', 'edm', 'electro', 'pop dance'], ['edm', 'house', 'stutter house'], ['grime']]","[74, 77, 65]",72.0
Strung Out Johnny,Iggy Pop,EVERY LOSER,album,2023-01-06,4:13,253893,2023-01-09T20:40:04Z,hvdpal58,43,6OGIBcJV5qV1FF5uiofnX0,spotify:track:6OGIBcJV5qV1FF5uiofnX0,['spotify:artist:33EUXrFKGjpUSGacqEHhU4'],['Iggy Pop'],True,0.521,0.884,10.0,-5.354,0.0,0.0387,0.000156,0.0191,0.0837,0.465,124.051,4.0,"[['alternative rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']]",[61],61.0
Kill Bill,SZA,SOS,album,2022-12-09,2:33,153946,2023-01-09T20:50:12Z,hvdpal58,83,3OHfY25tqY28d16oZczHc8,spotify:track:3OHfY25tqY28d16oZczHc8,['spotify:artist:7tYKF4w9nC0nq9CsPZTHyP'],['SZA'],True,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,4.0,"[['pop', 'r&b', 'rap']]",[88],88.0
Sail On By,Blanco White,Sail On By,single,2023-01-13,3:23,203026,2023-01-13T12:15:11Z,svdpal,34,1fSdmIgkLD4zsy21GfRCrU,spotify:track:1fSdmIgkLD4zsy21GfRCrU,['spotify:artist:3ccVtqcqedranb7y8eywJ5'],['Blanco White'],True,0.188,0.106,11.0,-17.23,0.0,0.0383,0.948,0.0707,0.11,0.182,173.842,3.0,"[['british singer-songwriter', 'indie anthem-folk', 'indie folk']]",[53],53.0
Be On Your Way,Daughter,Be On Your Way,single,2023-01-09,4:04,244772,2023-01-13T12:19:16Z,svdpal,41,0R3wEiSEO8AM3UJBvdvvmv,spotify:track:0R3wEiSEO8AM3UJBvdvvmv,['spotify:artist:46CitWgnWrvF9t70C2p1Me'],['Daughter'],True,0.49,0.567,7.0,-10.187,1.0,0.0283,0.143,0.049,0.116,0.234,101.899,4.0,"[['chamber pop', 'shimmer pop']]",[60],60.0
Flowers,Miley Cyrus,Flowers,single,2023-01-13,3:20,200454,2023-01-15T09:41:42Z,svdpal,41,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,['spotify:artist:5YGY8feqx7naU7z4HrwZM6'],['Miley Cyrus'],True,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4.0,[['pop']],[83],83.0
Don’t Lose Time,Weval,Don’t Lose Time,single,2023-01-17,6:13,373802,2023-01-20T16:28:20Z,svdpal,18,3I1CfmUZZrLAyYY4zm409Y,spotify:track:3I1CfmUZZrLAyYY4zm409Y,['spotify:artist:12tZvy2xFpWSkuJ3FsfisZ'],['Weval'],True,0.766,0.758,7.0,-6.973,0.0,0.0459,0.179,0.827,0.0881,0.637,121.004,4.0,"[['electronica', 'french indietronica']]",[48],48.0
LLYLM,ROSALÍA,LLYLM,single,2023-01-27,2:54,174044,2023-01-27T10:36:45Z,115458813,70,2SiAcexM2p1yX6joESbehd,spotify:track:2SiAcexM2p1yX6joESbehd,['spotify:artist:7ltDVBr6mKbRvohxheJ9h1'],['ROSALÍA'],True,0.555,0.634,6.0,-5.522,0.0,0.273,0.129,2.32e-06,0.188,0.555,170.228,4.0,"[['pop', 'r&b en espanol']]",[78],78.0
Silent Running (feat. Adeleye Omotayo),"Gorillaz, Adeleye Omotayo",Silent Running (feat. Adeleye Omotayo),single,2023-01-27,4:26,266338,2023-01-29T17:18:34Z,115458813,0,5t6VBNWXxcwlrxCjU7ytGg,spotify:track:5t6VBNWXxcwlrxCjU7ytGg,"['spotify:artist:3AA28KZvwAUcZuOKwyblJQ', 'spotify:artist:1z2GIqUV62qrl1J5sXalOT']","['Gorillaz', 'Adeleye Omotayo']",True,0.659,0.901,8.0,-3.549,1.0,0.0359,0.0614,9.17e-05,0.182,0.776,106.997,4.0,"[['alternative hip hop', 'modern rock', 'rock'], []]","[77, 46]",61.5
Mooier Als Je Lacht,Sophie Straat,Mooier Als Je Lacht,single,2023-01-27,3:38,218499,2023-01-29T17:22:21Z,115458813,16,0DJ1GDJ7PQkNdHFeFfdV2E,spotify:track:0DJ1GDJ7PQkNdHFeFfdV2E,['spotify:artist:6SU1jFBqw4tZJQDT8iQ6Nw'],['Sophie Straat'],True,0.734,0.68,9.0,-9.252,1.0,0.0305,0.0301,0.549,0.163,0.884,116.99,4.0,[['dutch indie']],[35],35.0
