name,artist,album,album_type,release_date,duration,duration_ms,added_at,added_by_id,track_popularity,track_id,track_uri,artist_uris,artist_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_genres,artists_popularities,artists_avg_popularity,enriched
Fly Me In,"Interstellar Funk, Loradeniz",Never Been,single,2023-01-16,4:21,261276,2023-01-24T12:55:25Z,115458813,9,7bJyFvFLNEHJ6GRMCerpy9,spotify:track:7bJyFvFLNEHJ6GRMCerpy9,"['spotify:artist:33DoW58zhBjyyeCdscBybf', 'spotify:artist:3wO7EZF5Cet3MkFX3KisbX']","['Interstellar Funk', 'Loradeniz']",0.453,0.673,9.0,-7.147,0.0,0.0299,0.0763,0.628,0.0878,0.356,89.994,4.0,"[['float house'], ['turkish alternative']]","[11, 7]",9.0,True
Freefall,"Interstellar Funk, Loradeniz",Never Been,single,2023-01-16,6:47,407405,2023-01-24T12:55:25Z,115458813,13,5sKfJiBQ7gKrzusdMnJf2O,spotify:track:5sKfJiBQ7gKrzusdMnJf2O,"['spotify:artist:33DoW58zhBjyyeCdscBybf', 'spotify:artist:3wO7EZF5Cet3MkFX3KisbX']","['Interstellar Funk', 'Loradeniz']",0.507,0.665,6.0,-10.194,0.0,0.0276,0.00271,0.665,0.102,0.168,124.004,4.0,"[['float house'], ['turkish alternative']]","[11, 7]",9.0,True
Hidden Tongue,"Interstellar Funk, Loradeniz",Never Been,single,2023-01-16,3:43,223503,2023-01-24T12:55:25Z,115458813,2,2mgN68CtexOFFwL9vJJCdT,spotify:track:2mgN68CtexOFFwL9vJJCdT,"['spotify:artist:33DoW58zhBjyyeCdscBybf', 'spotify:artist:3wO7EZF5Cet3MkFX3KisbX']","['Interstellar Funk', 'Loradeniz']",0.482,0.467,10.0,-14.315,1.0,0.0745,0.497,0.911,0.0978,0.471,139.909,4.0,"[['float house'], ['turkish alternative']]","[11, 7]",9.0,True
Situational Lullaby,"Interstellar Funk, Loradeniz",Never Been,single,2023-01-16,5:38,338529,2023-01-24T12:55:25Z,115458813,3,5Gj18yatUK8ZYaCp3mjU3w,spotify:track:5Gj18yatUK8ZYaCp3mjU3w,"['spotify:artist:33DoW58zhBjyyeCdscBybf', 'spotify:artist:3wO7EZF5Cet3MkFX3KisbX']","['Interstellar Funk', 'Loradeniz']",0.26,0.53,4.0,-8.964,0.0,0.0299,0.555,0.735,0.394,0.0425,114.001,5.0,"[['float house'], ['turkish alternative']]","[11, 7]",9.0,True
Lurking Orange,"Interstellar Funk, Loradeniz",Never Been,single,2023-01-16,4:48,288542,2023-01-24T12:55:25Z,115458813,21,08FZ94d4VJmisG5Xw6xwOL,spotify:track:08FZ94d4VJmisG5Xw6xwOL,"['spotify:artist:33DoW58zhBjyyeCdscBybf', 'spotify:artist:3wO7EZF5Cet3MkFX3KisbX']","['Interstellar Funk', 'Loradeniz']",0.578,0.744,10.0,-8.964,0.0,0.0319,0.306,0.887,0.0739,0.0951,109.994,4.0,"[['float house'], ['turkish alternative']]","[11, 7]",9.0,True
Rice,Young Fathers,Heavy Heavy,album,2023-02-03,2:39,159616,2023-02-04T20:59:06Z,115458813,54,79yGgP2ruLB7SavHhjPFI3,spotify:track:79yGgP2ruLB7SavHhjPFI3,['spotify:artist:5mZC7ndY6oGMxJentRwsuV'],['Young Fathers'],0.56,0.807,6.0,-6.665,1.0,0.0536,0.0229,0.00013,0.302,0.237,105.023,4.0,"[['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']]",[49],49.0,True
I Saw,Young Fathers,Heavy Heavy,album,2023-02-03,3:27,207340,2023-02-04T20:59:06Z,115458813,52,5wDEOCfVVAqkdjkrSwDwGJ,spotify:track:5wDEOCfVVAqkdjkrSwDwGJ,['spotify:artist:5mZC7ndY6oGMxJentRwsuV'],['Young Fathers'],0.596,0.774,8.0,-5.282,1.0,0.0886,0.222,2.04e-06,0.112,0.655,135.935,4.0,"[['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']]",[49],49.0,True
Drum,Young Fathers,Heavy Heavy,album,2023-02-03,3:38,218737,2023-02-04T20:59:06Z,115458813,46,0woEYg2SEO3u2MFKmVnDgM,spotify:track:0woEYg2SEO3u2MFKmVnDgM,['spotify:artist:5mZC7ndY6oGMxJentRwsuV'],['Young Fathers'],0.442,0.891,10.0,-6.561,0.0,0.0828,0.15,0.000124,0.228,0.362,162.012,4.0,"[['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']]",[49],49.0,True
Tell Somebody,Young Fathers,Heavy Heavy,album,2023-02-03,3:10,190812,2023-02-04T20:59:06Z,115458813,46,4X3hEZz6tBEhXEjwcN0I6J,spotify:track:4X3hEZz6tBEhXEjwcN0I6J,['spotify:artist:5mZC7ndY6oGMxJentRwsuV'],['Young Fathers'],0.171,0.296,3.0,-9.913,1.0,0.0392,0.674,0.0803,0.115,0.15,117.902,1.0,"[['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']]",[49],49.0,True
Geronimo,Young Fathers,Heavy Heavy,album,2023-02-03,3:33,213671,2023-02-04T20:59:06Z,115458813,49,1miJ79Xlen9j3MjSl0dzZh,spotify:track:1miJ79Xlen9j3MjSl0dzZh,['spotify:artist:5mZC7ndY6oGMxJentRwsuV'],['Young Fathers'],0.4,0.49,1.0,-8.89,1.0,0.0342,0.0251,0.171,0.144,0.122,176.107,4.0,"[['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']]",[49],49.0,True
